Name,Price(07/11/2025),Price(08/11/2025)
Meena Facial Tissue Non Perfumed 130x2,85.0,85.0
Meena Facial Tissue Perfumed 130x2,85.0,85.0
Mjs Pancake Syrup 710gm,780.0,780.0
Mjs Strawberry Syrup 624gm,750.0,750.0
Mortein Insta Vapo Machine+refill 60n 45ml Stk21,199.0,199.0
Mortein Insta Vapouriser Machine+Refill 45ml,220.0,220.0
Mortein Mosquito Killer Spray 425ml,415.0,415.0
Mr. Brasso Glass & Multisurface Cleaner Refill -500 ml,190.0,190.0
Mr. Brasso Glass & Multisurface Cleaner Spray 500 ml,230.0,230.0
Mr. White Detergent Powder (Buy 1 Get 1Kg Free),397.0,397.0
Mr. White White Detergent Powder 500gm Buy 3 Get 1,285.0,285.0
New Hit Anti Roach Gel 20gm,225.0,225.0
Odomos Mosquito Repellent Cream 50gm,135.0,135.0
Odonil Air Fresh Gel Pocket Citrus Bloom10g,75.0,75.0
Odonil Air Fresh Gel Pocket Floral Valley10g,75.0,75.0
Odonil Air Freshner Anti Tobacco 300ml,300.0,300.0
Odonil Air Freshner Jasmine Fresh 300ml -Save Tk 50,300.0,300.0
Odonil Bathr Air Fresh Ref Lavender Meadows75g,75.0,75.0
Odonil Bathr Air Fresh Ref Mystic Rose75g,75.0,75.0
Odonil Bathr Air Fresh Ref Orchid Dew75g,75.0,75.0
Odonil New Air Fresh Orchid Dew 48gm,65.0,65.0
Odonil New Hanger Lavender 50gm,95.0,95.0
Orchid Air Freshener Rajanigandha Pack50g,60.0,60.0
Orchid Air Freshner Rose Pack 50gm,60.0,60.0
Orchid Hanger Air Fresh Rajanigandha 70g,105.0,105.0
Orchid Hanger Air Freshner Beli 70gm,105.0,105.0
Orchid Hanger Air Freshner Jasmeine 70gm,105.0,105.0
ORIX CRYSTAL WASH DETERGENT POWDER 1KG,185.0,185.0
ORIX CRYSTAL WASH DETERGENT POWDER 500GM,95.0,95.0
Orix Fabric Shampoo Liq Laundry Detergent 1ltr,750.0,750.0
ORIX PURE CLEAN LIQ DETERGENT ROSE&LAV 1LTR,480.0,480.0
Partex Cleen Kitchen Towel 1roll,85.0,85.0
Partex Cleen Paper Napkin 100p,75.0,75.0
Ray Liquid Detergent 1 Ltr,500.0,500.0
RFL PRIME STOOL HIGH - RED 95681,285.0,285.0
Rin Advanced Detergent Powder 1kg,185.0,185.0
Rin Liquid Detergent Bottle 400ml Bd,120.0,120.0
Rin Synthetic Detergent Powder 500gm,95.0,95.0
Rok Bleching Powder 200gm,35.0,35.0
Rok Bleching Powder 500gm,65.0,65.0
Rok Concen Floor Cleaner Citrus 1ltr,285.0,285.0
Rok Concent Floor Cleaner Pine 2in1 1 Ltr -Buy 1 Get 250ml Rok Dish Liquid Free,288.0,288.0
Rok Concent Floor Cleaner Rajaniga 1000 ml-Buy 1 Get 450ml Refill Pack Free,295.0,295.0
Rok Dish Cleaning Scrubber -6pcs,84.0,84.0
Rok Glass Cleaner Refill 350ml,120.0,120.0
Rok Glazeo Wood & Furniture Cleaner Spray 250 ml,165.0,165.0
Rok Lemon Fresh Dishwashing Liquid 500ml,135.0,135.0
Rok Sol Tiles & Bathroom Cleaner 1000ml-Buy 1 Get 500ML Rok SOL Free,180.0,180.0
Rok Wood Cleaner 350ml Refill,140.0,140.0
Savlon Liquid Antiseptic 250 ml,100.0,100.0
Savlon Liquid Antiseptic 500 ml,175.0,175.0
Sepnil Disinfectant Spray 300 ml,350.0,350.0
Shinex 4in1 Act Citrus Floor Cleaner 1000ml,285.0,285.0
Shinex 4in1 Act Citrus Floor Cleaner 500ml,160.0,160.0
Shinex 4in1 Act Floral Floor Cleaner 500ml,160.0,160.0
Shinex 4in1 Act Nat Floor Cleaner 1000ml,270.0,270.0
SHINEX 4IN1 ACTION TILES&CERAMIC CLEANER 1LTR,170.0,170.0
Shinex Floral Floor Cleaner 1000ml,285.0,285.0
Shinex Glass Cleaner Refill 350ml,115.0,115.0
Shuvro Fabric Brightener 100ml,35.0,35.0
Shuvro Synthetic Detergent Powder 1kg,190.0,190.0
Spring Air Freshener Floral 300ml,320.0,320.0
Spring Air Freshener Lemon 300ml,320.0,320.0
Spring Air Freshener Orange 300ml,320.0,320.0
Sunbit Ginger Power Liq Dish Wash Pump 500m,130.0,130.0
Sunbit Ginger Power Liq Dish Wash Ref 250ml,65.0,65.0
Sunbit Lemon Force Dish Washing Bar 300g B3g1,120.0,120.0
Sunbit Lemon Force Dish Washing Bar 300gm,40.0,40.0
Sunbit Lemon Force Dish Washing Bar 75gm,10.0,10.0
Sunbit Lemon Force Liq Dish Wash Pump 500m,130.0,130.0
Sunbit Lemon Force Liq Dish Wash Ref 250ml,65.0,65.0
Sunbit Refresh Lime Liq Dish Wash Ref 250ml,65.0,65.0
Sunlite Heavy Duty AA Battery 1 pcs,20.0,20.0
Sunlite Heavy Duty Aaa Battery 2pcs,30.0,30.0
Surf Excel Matic Liq Wash Top Load 1ltr,400.0,400.0
Surf Excel Matic Liq Wash Top Load 500m,210.0,210.0
Surf Excel Quick Wash 1kg,235.0,235.0
Surf Excel Quick Wash 500gm,120.0,120.0
Swift Liquid Toilet Cleaner 1000ml,185.0,185.0
Swift Liquid Toilet Cleaner 500ml-Buy 1 Get Item,110.0,110.0
Swift Liquid Toilet Cleaner 750ml,140.0,140.0
Telajom Instant Forte Ins Cockroachspray250m,250.0,250.0
Trix Dish Wash Liquid Lemon 250 ml,70.0,70.0
Trix Dish Wash Liquid Lemon 500 ml,150.0,150.0
TRIX DISH WASHING LIQ LEMON 1LTR,270.0,270.0
Trix Dishwah Liq500m+poly250m Stk30,190.0,190.0
Tylox Liq Floor Cleaner Apple Dream 1l,320.0,320.0
Tylox Liq Floor Cleaner Jasmin Vine 1L,320.0,320.0
TYLOX LIQ FLOOR CLEANER RAIN FRESH 1L,320.0,320.0
TYLOX LIQ GLASS CLEANER LEMON SHINE 500ML,230.0,230.0
TYLOX LIQ TOILET CLEANER FRESH AQUA 500ML,120.0,120.0
Tylox Liq Toilet Cleaner Fresh Aqua 750ml,160.0,160.0
Tylox Liq Toilet Cleaner Lemon Lime 500ml,120.0,120.0
Ujala Supreme Liq Fabric Whitener 100ml,40.0,40.0
Unik Complete Bathroom Cleaner Pow 400gm,80.0,80.0
UNIK PINE DISINFECT CONCEN FLOOR CLEANER 1000ML,240.0,240.0
Unik Xtreme Toilet Cleaner 750ml Bstk100,220.0,220.0
Vanish Kills Disease Toilet Cleaner 750ml,170.0,170.0
Vanish Oxi Action Liq Detergent 800ml,480.0,480.0
Vanish Quick Action Toilet Cleaner 500ml,130.0,130.0
Vim Dishwash Bar 300gm,40.0,40.0
Vim Dishwash Liquid Lime 1ltr,240.0,240.0
Vim Dishwash Liquid Lime 500ml,130.0,130.0
Vim Dishwash Liquid Lime Pack 210 ml,50.0,50.0
Vim Dishwash Powder 500g,45.0,45.0
Vim DW Liq Lime Ref 250ml B3G1,150.0,150.0
Vixol Bathroom Cleaner Pink 450 ml,355.0,355.0
Vixol Bathroom Cleaner Smart 450 ml,355.0,355.0
Vixol Bathroom Cleaner White 450 ml,355.0,355.0
Vixol Bathroom Cleaner White 900 ml,525.0,525.0
Wheel 2in1 Clean & Fresh Powder 1kg,145.0,145.0
Wheel 2in1 Clean & Fresh Powder 2kg,260.0,260.0
Wheel 2in1 Clean & Fresh Powder 500g,75.0,75.0
Wheel Laundry Soap 100gm,25.0,25.0
Wheel Laundry Soap 125gm B5g1,150.0,150.0
WHEEL WASHING LAUNDRY BAR 125G,30.0,30.0
WHITE WASH SYNTH DETERGENT POWDER 1KG,122.4,122.4
White Wash Synth Detergent Powder 500gm,64.6,64.6
Wonder Antibacterial Dish W Liquid 500ml,150.0,150.0
Wonder Dish Wash Bar 325gm,40.0,40.0
Wonder Dishwash Bar 100gm,12.0,12.0
Xpel Aerosol 475ml,415.0,415.0
Zipit Storage&Sand Zip Bags S 50p,250.0,250.0
Aci Black Fighter M Low Smoke Mos Coil10h10p,85.0,85.0
Aci Smart Washing Powder 500gm,75.0,75.0
ACI Supreme Liquid Detergent Jar 1 Ltr,250.0,250.0
Aci Supreme Washing Powder 500gm,90.0,90.0
Aer AC Vent Car Air Freshener -Cool Surf Blue 10gm,399.0,399.0
Airwick Ef Gel Citrus Splash 50gm,140.0,140.0
Airwick Ef Gel Lavender Meadows 50gm,140.0,140.0
Airwick Ef Gel Morning Rose 50gm,140.0,140.0
Alex Car Wash 500 ml,345.0,345.0
Andalus 4in1 Liquid Toilet Cleaner 500ml,130.0,130.0
Andalus 4in1 Liquid Toilet Cleaner 750ml,160.0,160.0
Andalus Disinfect Floor Cleaner Lemon 500 ml,150.0,150.0
Andalus Disinfect Floor Cleaner Lemon 750 ml,190.0,190.0
Andalus Disinfect Floor Cleaner Pine 500 ml,150.0,150.0
Andalus Grease Remover Spray 500ml,300.0,300.0
Andalus Household Dishwashing Liq Lemon 750ml,195.0,195.0
Angelic Air Freshener Citrus Burst,260.0,260.0
Angelic Air Freshener Green Valley 300ml,320.0,320.0
Ariel Complete Detergent Powder 1kg,220.0,220.0
Ariel Complete Detergent Powder 500gmb2g1,220.0,220.0
ARIEL MATIC FRONT LOAD LIQ DET 500M B2G1,510.0,510.0
Ariel Matic Front Load Liq Detergent 500ml,255.0,255.0
Ariel Matic Front Load Liquid Detergent 1 Ltr,485.0,485.0
ARIEL MATIC TOP LOAD LIQ DET 500ML,500.0,500.0
Ariel Matic Top Load Liq Detergent 500ml,255.0,255.0
Ariel Matic Top Load Liquid Detergent 1 Ltr,485.0,485.0
Armaf Enchanted Bloom Air Freshener 300ml,545.0,545.0
Armaf Enchanted Lemon Air Freshener 300ml,545.0,545.0
Armaf Enchanted Romance Air Freshner 300ml,545.0,545.0
Armaf Enchanted Spring Air Freshener 300ml,545.0,545.0
Armaf Enchanted Vintage Air Freshner 300ml,545.0,545.0
Atm Deodorizer Jasmin 70gm,189.0,189.0
Atm Deodorizer Orchid 70gm,189.0,189.0
Atm Deodorizer Rose 70gm,189.0,189.0
ATM NAPTHALENE BALL 100GM THAI,275.0,275.0
Banglawash Synthetic Detergent Powder 1kg,155.0,155.0
Banglawash Synthetic Detergent Powder 500gm,80.0,80.0
Bashundhara Air Freshner Anti Tobacco 300ml,290.0,290.0
Bashundhara Air Freshner Jasmine 300ml,290.0,290.0
Bashundhara Air Freshner Lavender 300ml,290.0,290.0
Bashundhara Air Freshner Lotus 300ml,290.0,290.0
Bashundhara Air Freshner Oud 300ml,290.0,290.0
Bashundhara Air Freshner Rose 300ml,290.0,290.0
Bashundhara Facial Tissue Non Perfumed -80x3p 240s,110.0,110.0
Bashundhara Facial Tissue Perfumed 120x2,85.0,85.0
Bashundhara Hand Towel 1plyx200p Box,100.0,100.0
Bashundhara Paper Napkin 100pcs,75.0,75.0
Bashundhara Pow Wash Synth Det Pow Lem 1kg,140.0,140.0
Bashundhara Power Wash Synth Detergent Powder Lemon 500g,70.0,70.0
Bashundhara Toilet Tissue Soft,40.0,40.0
Bashundhara Xtra Ex P Boost Mos Coil 10p,100.0,100.0
Bashundhara Xtra Plant F Mos Coil 10p,70.0,70.0
Bashundhara Xtreme Aerosol 475ml,415.0,415.0
BASHUNDHARA XTREME LIQ TOILET CLEANER 500ML,120.0,120.0
BASHUNDHARA XTREME LIQ TOILET CLEANER 750ML,150.0,150.0
Baygon Cockroach Control Aerosol 270ml,975.0,975.0
Baygon Cockroach Control Aerosol 570ml,862.0,862.0
Be Pure Hanging Vanilla Car Perfume 6ml,690.0,690.0
Be Pure Terminator Amber Flora Spray300m,396.0,396.0
Be Pure Terminator Cool Air Spray 300ml,480.0,480.0
Be Pure Terminator Fresh N Lem Spray300m,396.0,396.0
Bliss Air Freshner Anti Tob Floral Fusion 300ml,300.0,300.0
Bliss Air Freshner Citrus 300ml,300.0,300.0
Bliss Air Freshner Lavender 300ml,300.0,300.0
Bqs Aluminium Foil Box 1000 Ml 5 Pcs,120.0,120.0
"Bqs Aluminium Foil Box 7"" Round 5pcs",120.0,120.0
BQS ALUMINIUM FOIL PAPER SMALL,200.0,200.0
