Name,Price(07/11/2025),Price(08/11/2025)
Igf Chicken Spring Roll 300 Gm,215,215
Igf Chicken Tandoori Nuggets 250 Gm,220,220
Igf Dal Puri 400 Gm,130,130
Igf Fried Chicken Drumstick 500 Gm,405,405
Igf Fried Chicken Wings 500 Gm,400,400
Igf Keema Paratha 500 Gm,245,245
Igf Plain Paratha 1300 Gm,310,310
Igf Plain Paratha 650 Gm,165,165
Igloo Dhudh Malai 50 Ml,20,20
Igloo Stick Lolly 65 Ml,15,15
Jhatpot Chicken Classic Pizza 200gm,200,200
Jhatpot Chicken Dumpling -250gm,165,165
Jhatpot Chicken Hariyali Pizza 200gm,200,200
Jhatpot Chicken Lollipop 1000g Pouch,680,680
Jhatpot Chicken Nuggets 1000g Pouch,650,650
Jhatpot Chicken Pizza 200g,195,195
Jhatpot Chicken Wonton  (300 Gm) - 10 Pcs,250,250
Jhatpot Chocolate Spring Roll -300gm,190,190
JHATPOT PARTY BOX 1000G POUCH,630,630
Jhatpot Vegetable Supreme Pizza 200g,200,200
Kazi Farms Kitchen French Fries 1000gm,380,380
Kazi Farms Aloo Puri -10pcs (450gm),140,140
Kazi Farms Chicken Burgers -200gm,190,190
Kazi Farms Chicken Cutlets 200gm,180,180
Kazi Farms Chicken Keema Paratha -250gm,130,130
Kazi Farms Chicken Liver Singara 300 Gm,140,140
Kazi Farms Chicken Lollipop 300gm,255,255
Kazi Farms Chicken Samosa -500gm,415,415
Kazi Farms Chicken Sausage 340gm,260,260
Kazi Farms Chicken Sausages Plain 170g,140,140
Kazi Farms Chicken Sausages Spicy 170g,140,140
Kazi Farms Chicken Spring Roll -250gm (23-25pcs),215,215
Kazi Farms Crispy Chicken Wings -500 Gm,335,335
Kazi Farms Crispy Shrimp 250gm,295,295
Kazi Farms Dal Puri -10pcs (450gm),145,145
Kazi Farms Filo Pastry -400gm,180,180
Kazi Farms Kitchen French Fries -500gm,200,200
Kazi Farms Regular Plain Paratha -5pcs,90,90
Kazi Farms Rice Flour Roti 500g,150,150
Kazi Farms Shrimp Nobashi 250 Gm,320,320
Kazi Farms Spicy Chicken Meatball 250gm,195,195
Kazi Farms Spicy Chicken Nuggets -250gm,200,200
Kazi Farms Spicy Chicken Sausage 340gm,260,260
"Kazi Kabab Kathi 4""",52,52
Keskinoglu Chicken Franks 340g,390,390
Lamisa Paratha Family Regular 20p 1300gm,280,280
